file,line,column,annotation,type
107_ruby_596/nenmatsuno_ichinichi.txt,37,122,「金＋肅」、第3水準1-93-39,入力者注
3759_ruby_27229/chikagorono_yurei.txt,21,1,地から１字上げ,入力者注
3759_ruby_27229/chikagorono_yurei.txt,22,1,地から１字上げ,入力者注
2369_ruby_1406/toyono_aki.txt,23,56,「均−土へん」、第3水準1-14-75,入力者注
2369_ruby_1406/toyono_aki.txt,23,88,「均−土へん」、第3水準1-14-75,入力者注
2369_ruby_1406/toyono_aki.txt,23,118,「均−土へん」、第3水準1-14-75,入力者注
2369_ruby_1406/toyono_aki.txt,23,169,「均−土へん」、第3水準1-14-75,入力者注
2369_ruby_1406/toyono_aki.txt,23,290,「均−土へん」、第3水準1-14-75,入力者注
2369_ruby_1406/toyono_aki.txt,23,324,「均−土へん」、第3水準1-14-75,入力者注
2369_ruby_1406/toyono_aki.txt,29,1,地から１字上げ,入力者注
53680_ruby_69540/rip_van_winkle.txt,20,1,ここから１段階小さな文字,入力者注
53680_ruby_69540/rip_van_winkle.txt,21,1,ここから２字下げ,入力者注
53680_ruby_69540/rip_van_winkle.txt,27,1,１０字下げ,入力者注
53680_ruby_69540/rip_van_winkle.txt,28,1,ここで字下げ終わり,入力者注
53680_ruby_69540/rip_van_winkle.txt,29,1,ここで小さな文字終わり,入力者注
53680_ruby_69540/rip_van_winkle.txt,33,264,「（訳註）」は行右小書き,入力者注
53680_ruby_69540/rip_van_winkle.txt,34,70,「アパラチヤ大山系から」はママ,入力者注
53680_ruby_69540/rip_van_winkle.txt,48,10,「秋の日」はママ,入力者注
53680_ruby_69540/rip_van_winkle.txt,57,193,「しゃこ」に傍点,入力者注
53680_ruby_69540/rip_van_winkle.txt,58,353,「まんさく」に傍点,入力者注
53680_ruby_69540/rip_van_winkle.txt,92,139,「へ」に傍点,入力者注
53680_ruby_69540/rip_van_winkle.txt,100,1,５字下げ,入力者注
53680_ruby_69540/rip_van_winkle.txt,100,9,「註」は１段階大きな文字,入力者注
53680_ruby_69540/rip_van_winkle.txt,105,1,２字下げ,入力者注
53680_ruby_69540/rip_van_winkle.txt,105,8,１段階小さな文字,入力者注
53680_ruby_69540/rip_van_winkle.txt,105,69,小さな文字終わり,入力者注
4277_ruby_5489/sato_haruo_shi.txt,14,29,「有島生馬」に傍点,入力者注
14_ruby_1261/ababababa.txt,92,1,地から２字上げ,入力者注
50_ruby_932/hoonki.txt,25,187,「てへん＋丑」、第4水準2-12-93,入力者注
50_ruby_932/hoonki.txt,57,33,「しけ」に傍点,入力者注
50_ruby_932/hoonki.txt,72,61,「目＋匡」、第3水準1-88-81,入力者注
50_ruby_932/hoonki.txt,111,1,地から１字上げ,入力者注
177_ruby_1019/uogasi.txt,30,1,地から１字上げ,入力者注
126_ruby_1296/otomino_teiso.txt,20,67,「勹＜夕」、第3水準1-14-76,入力者注
126_ruby_1296/otomino_teiso.txt,76,207,「てへん＋丑」、第4水準2-12-93,入力者注
126_ruby_1296/otomino_teiso.txt,83,9,「どん」に傍点,入力者注
126_ruby_1296/otomino_teiso.txt,126,1,地から２字上げ,入力者注
60232_ruby_74587/christmas_eve.txt,18,1,ここから１段階小さな文字,入力者注
60232_ruby_74587/christmas_eve.txt,19,1,ここから２字下げ,入力者注
60232_ruby_74587/christmas_eve.txt,27,1,１６字下げ,入力者注
60232_ruby_74587/christmas_eve.txt,28,1,ここで字下げ終わり,入力者注
60232_ruby_74587/christmas_eve.txt,29,1,ここで小さな文字終わり,入力者注
60232_ruby_74587/christmas_eve.txt,31,435,「（原註１）」は行右小書き,入力者注
60232_ruby_74587/christmas_eve.txt,38,1,ここから１字下げ、折り返して２字下げ,入力者注
60232_ruby_74587/christmas_eve.txt,41,1,ここで字下げ終わり,入力者注
60232_ruby_74587/christmas_eve.txt,45,334,「（原註２）」は行右小書き,入力者注
60232_ruby_74587/christmas_eve.txt,49,154,「（原註３）」は行右小書き,入力者注
60232_ruby_74587/christmas_eve.txt,55,1,ここから２字下げ,入力者注
60232_ruby_74587/christmas_eve.txt,62,1,ここで字下げ終わり,入力者注
